Puzzle Number,Algorithm,Heuristic,Solution Path Length,Search Path Length,Execution Time (s)
31,gbfs,h3,78,405,1.6829
31,gbfs,h4,88,742,5.8474
32,a*,h1,9,1938,0.2451
32,a*,h2,9,1938,0.2533
32,a*,h3,9,850,0.1106
32,a*,h4,9,5590,1.0108
32,ucs,NA,9,5590,0.5894
32,gbfs,h1,92,1147,4.8331
32,gbfs,h2,92,1147,4.3607
32,gbfs,h3,92,1147,4.3582
32,gbfs,h4,92,858,4.2865
33,a*,h1,50,11771,1.8461
33,a*,h2,50,11771,1.8937
33,a*,h3,53,12064,1.9652
33,a*,h4,50,12111,2.3602
33,ucs,NA,50,12111,1.5597
33,gbfs,h1,74,992,3.6652
33,gbfs,h2,74,992,3.3808
33,gbfs,h3,74,992,3.4928
33,gbfs,h4,81,784,3.4658
34,a*,h1,16,883,0.1257
34,a*,h2,16,883,0.1260
34,a*,h3,18,650,0.0942
34,a*,h4,16,2409,0.4122
34,ucs,NA,16,2409,0.2488
34,gbfs,h1,113,14687,122.7347
34,gbfs,h2,113,14687,126.8240
34,gbfs,h3,113,14687,138.0977
34,gbfs,h4,354,4449,49.5214
35,a*,h1,17,1492,0.2075
35,a*,h2,17,1492,0.2193
35,a*,h3,19,716,0.1280
35,a*,h4,17,4366,0.7679
35,ucs,NA,17,4366,0.4394
35,gbfs,h1,24,183,0.6912
35,gbfs,h2,24,183,0.8523
35,gbfs,h3,24,183,0.7535
35,gbfs,h4,65,598,5.0721
36,a*,h1,18,3466,0.4920
36,a*,h2,18,3466,0.4851
36,a*,h3,20,1415,0.2118
36,a*,h4,18,11608,1.9984
36,ucs,NA,18,11608,1.1273
36,gbfs,h1,157,7782,47.7575
36,gbfs,h2,157,7782,46.2969
36,gbfs,h3,157,7782,49.5768
36,gbfs,h4,241,3647,27.6730
37,a*,h1,49,217177,31.6805
37,a*,h2,49,217177,32.7748
37,a*,h3,52,208388,29.5047
37,a*,h4,49,258352,44.8764
37,ucs,NA,49,258352,28.0045
37,gbfs,h1,115,12142,114.2454
37,gbfs,h2,115,12142,114.5405
